city,year_month,AQI,PM2.5,n_t
淄博,2022-06,65.5028328611898,29.297450424929178,0.894728472072323
淄博,2022-07,47.69063772048847,25.929443690637722,0.9068303857148793
淄博,2022-08,44.08807588075881,23.215447154471544,0.9165823114971149
淄博,2022-09,68.19777158774373,36.67270194986072,0.8682277361509532
淄博,2022-10,66.06056527590847,41.21803499327053,0.8518954564651837
淄博,2022-11,79.60277777777777,53.709722222222226,0.8070103561607748
淄博,2022-12,99.3382949932341,63.51150202976996,0.7717906246897659
淄博,2023-01,112.625,77.3913043478261,0.7219177526082896
淄博,2023-02,90.23219814241486,61.978328173374614,0.7772996212782257
淄博,2023-03,104.55,53.18378378378378,0.8089001568842944
淄博,2023-04,98.51182197496523,41.183588317107095,0.852019230178567
淄博,2023-05,65.50672043010752,32.00268817204301,0.8850080183497022
淄博,2023-06,61.763888888888886,22.166666666666668,0.920350787006438
淄博,2023-07,50.632075471698116,19.7722371967655,0.9289544451799517
淄博,2023-08,48.87903225806452,23.443548387096776,0.9157626987003573
淄博,2023-09,62.89861111111111,35.263888888888886,0.8732898798304174
淄博,2023-10,65.86406460296097,38.69851951547779,0.8609485733793772
淄博,2023-11,68.82475660639777,40.53129346314326,0.8543630544684002
淄博,2023-12,99.14518317503392,69.21302578018997,0.7513039233551017
淄博,2024-01,101.12129380053908,73.0822102425876,0.7374011791134374
淄博,2024-02,76.79136690647482,55.03597122302158,0.8022448814624064
淄博,2024-03,80.9986541049798,45.43203230148048,0.8367537315408569
淄博,2024-04,72.20949720670392,40.99022346368715,0.8527140283016728
淄博,2024-05,69.6760752688172,32.263440860215056,0.8840710824219342
淄博,2024-06,70.76216968011127,26.029207232267037,0.9064719155986586
淄博,2024-07,44.924324324324324,22.95,0.9175361155698234
淄博,2024-08,47.69667590027701,21.818559556786703,0.921601604630772
淄博,2024-09,46.719424460431654,22.24748201438849,0.9200604014946857
淄博,2024-10,71.7997256515775,47.57064471879287,0.8290692745812843
淄博,2024-11,70.90376569037657,44.84518828451883,0.8388623780416528
淄博,2024-12,75.11838440111421,48.561281337047355,0.8255097214832434
滨州,2014-05,126.85245901639344,88.44047619047619,0.682215895097115
滨州,2014-06,90.12727272727273,64.34545454545454,0.7687940685296931
滨州,2014-07,102.08067940552017,68.94692144373673,0.7522600888125155
滨州,2014-08,99.68464730290457,70.84232365145228,0.745449534189171
滨州,2014-09,98.02714285714286,71.23571428571428,0.7440360039146745
滨州,2014-10,114.45086705202313,82.8106936416185,0.7024448161200355
滨州,2014-11,123.18059701492537,87.3,0.68631385138325
滨州,2014-12,133.6587537091988,96.71661721068249,0.6524780852226864
滨州,2015-01,135.97213622291022,102.85139318885449,0.6304346230323161
滨州,2015-02,125.54490106544901,90.75951293759513,0.6738831378725507
滨州,2015-03,130.59887798036465,85.77138849929874,0.6918064545262768
滨州,2015-04,107.58006042296073,77.16314199395771,0.7227375850257503
滨州,2015-05,83.05917159763314,55.36834319526627,0.8010506032965232
滨州,2015-06,91.65144596651446,64.54337899543378,0.7680828868752707
滨州,2015-07,92.0487106017192,66.48280802292264,0.7611141351897208
滨州,2015-08,68.1142061281337,46.09192200557103,0.834382617453938
滨州,2015-09,74.46926536731634,50.44827586206897,0.8187293773249968
滨州,2015-10,122.94350282485875,89.65395480225989,0.6778556266875018
滨州,2015-11,109.71970802919708,81.29051094890511,0.7079071328906095
滨州,2015-12,183.23953823953823,143.63492063492063,0.4838913509640227
滨州,2016-01,123.33243606998654,90.69313593539704,0.6741216435561275
滨州,2016-02,97.70995670995671,69.56277056277057,0.7500472212491851
滨州,2016-03,123.52660300136425,83.34788540245566,0.700514579985721
滨州,2016-04,117.08016877637131,70.52883263009845,0.7465759693680303
滨州,2016-05,96.75641025641026,62.65384615384615,0.7748723517064562
滨州,2016-06,79.4138418079096,54.639830508474574,0.803668293318724
滨州,2016-07,83.20821917808219,59.532876712328765,0.7860866115467787
滨州,2016-08,67.52631578947368,45.85872576177285,0.8352205376325056
滨州,2016-09,100.921875,71.86505681818181,0.7417746518508663
滨州,2016-10,94.20765027322405,66.98907103825137,0.7592950321488781
滨州,2016-11,124.58908045977012,91.44683908045977,0.671413439240262
滨州,2016-12,158.36788321167884,121.91970802919708,0.561918400318929
滨州,2017-01,150.15573770491804,115.02599179206567,0.5866888848101377
滨州,2017-02,126.19076005961251,92.698956780924,0.6669143329507604
滨州,2017-03,105.84038199181447,76.04911323328785,0.7267405104711433
滨州,2017-04,104.88966480446928,73.46508379888269,0.7360254387780262
滨州,2017-05,104.82638888888889,65.81666666666666,0.763507712698063
滨州,2017-06,85.6096181046676,57.00990099009901,0.7951521618029048
滨州,2017-07,76.55910987482615,51.891515994436716,0.8135435303759526
滨州,2017-08,59.35408022130014,37.045643153526974,0.8668876847209581
滨州,2017-09,78.21764705882353,48.61323529411764,0.8253230406504968
滨州,2017-10,85.39594594594594,59.986486486486484,0.78445670200462
滨州,2017-11,87.30555555555556,56.016666666666666,0.798721048968901
滨州,2017-12,108.40611961057023,77.43393602225314,0.7217645685789643
滨州,2018-01,110.640434192673,80.53532608695652,0.7106206613080015
滨州,2018-02,105.15201192250373,73.9090909090909,0.7344300335047196
滨州,2018-03,101.76819407008087,72.58490566037736,0.7391880927340904
滨州,2018-04,93.01838755304102,56.00990099009901,0.7987453593815618
滨州,2018-05,83.6390041493776,49.19363762102351,0.8232375404148118
滨州,2018-06,82.84916201117318,44.322625698324025,0.8407400486610647
滨州,2018-07,65.91643835616438,39.81917808219178,0.8569218257309593
滨州,2018-08,55.69081272084806,28.791519434628974,0.8965463820816372
滨州,2018-09,56.66009104704097,30.663125948406677,0.8898213300881326
滨州,2018-10,72.92886456908344,45.87004103967168,0.8351798796033576
滨州,2018-11,124.2296918767507,84.25630252100841,0.6972504577949268
滨州,2018-12,100.35836177474403,68.080204778157,0.7553743730366582
滨州,2019-01,130.00537634408602,96.66083445491252,0.6526785236856498
